Capital,Precio_medio_eur_m2_mes,Codigo_provincia_INE
A Coruña,11.2,15
Albacete,8.6,02
Alicante / Alacant,12.8,03
Almería,,04
Badajoz,,06
Barcelona,24.0,08
Bilbao,15.7,48
Burgos,10.4,09
Castellón de la Plana,9.1,12
Ciudad Real,8.1,13
Cuenca,8.1,16
Cáceres,8.1,10
Cádiz,,11
Córdoba,,14
Donostia-San Sebastián,18.5,20
Girona,,17
Granada,,18
Guadalajara,10.8,19
Huelva,,21
Huesca,,22
Jaén,,23
Las Palmas de Gran Canaria,13.9,35
León,9.0,24
Lleida,9.4,25
Logroño,9.4,26
Lugo,7.8,27
Madrid,23.1,28
Murcia,9.6,30
Málaga,,29
Ourense,8.3,32
Oviedo,10.8,33
Palencia,,34
Palma de Mallorca,18.4,07
Pamplona / Iruña,11.9,31
Pontevedra,9.4,36
Salamanca,10.0,37
Santa Cruz de Tenerife,13.0,38
Santander,11.9,39
Segovia,,40
Sevilla,,41
Soria,,42
Tarragona,11.7,43
Teruel,,44
Toledo,10.2,45
Valencia,16.3,46
Valladolid,9.6,47
Vitoria-Gasteiz,12.4,01
Zamora,7.7,49
Zaragoza,,50
Ávila,8.4,05
